experiment,fold,true_class_name,rank,prompt_text,prompt_concept,count,frequency
Concept-12 PEPS topk=5 tau=0.1,5,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,34,0.13385826771653545
Concept-12 PEPS topk=5 tau=0.1,5,Adenocarcinoma,4,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,lepidic growth pattern,20,0.07874015748031496
Concept-12 PEPS topk=5 tau=0.1,5,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with micropapillary clusters.,micropapillary pattern,17,0.06692913385826772
Concept-12 PEPS topk=5 tau=0.1,5,NonAdenocarcinoma,1,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,39,0.29545454545454547
Concept-12 PEPS topk=5 tau=0.1,5,NonAdenocarcinoma,2,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,37,0.2803030303030303
Concept-12 PEPS topk=5 tau=0.1,5,NonAdenocarcinoma,3,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,29,0.2196969696969697
Concept-12 PEPS topk=5 tau=0.1,5,NonAdenocarcinoma,4,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,20,0.15151515151515152
Concept-12 PEPS topk=5 tau=0.1,5,NonAdenocarcinoma,5,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,3,0.022727272727272728
Concept-12 PEPS topk=3 tau=0.07,1,Adenocarcinoma,1,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,123,0.48046875
Concept-12 PEPS topk=3 tau=0.07,1,Adenocarcinoma,2,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,68,0.265625
Concept-12 PEPS topk=3 tau=0.07,1,Adenocarcinoma,3,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,36,0.140625
Concept-12 PEPS topk=3 tau=0.07,1,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,intracytoplasmic mucin vacuoles,12,0.046875
Concept-12 PEPS topk=3 tau=0.07,1,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,12,0.046875
Concept-12 PEPS topk=3 tau=0.07,1,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,53,0.4015151515151515
Concept-12 PEPS topk=3 tau=0.07,1,NonAdenocarcinoma,2,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,27,0.20454545454545456
Concept-12 PEPS topk=3 tau=0.07,1,NonAdenocarcinoma,3,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,17,0.12878787878787878
Concept-12 PEPS topk=3 tau=0.07,1,NonAdenocarcinoma,4,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.,spindle cell atypia without gland formation,10,0.07575757575757576
Concept-12 PEPS topk=3 tau=0.07,1,NonAdenocarcinoma,5,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,8,0.06060606060606061
Concept-12 PEPS topk=3 tau=0.07,2,Adenocarcinoma,1,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,126,0.4921875
Concept-12 PEPS topk=3 tau=0.07,2,Adenocarcinoma,2,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,102,0.3984375
Concept-12 PEPS topk=3 tau=0.07,2,Adenocarcinoma,3,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,20,0.078125
Concept-12 PEPS topk=3 tau=0.07,2,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,4,0.015625
Concept-12 PEPS topk=3 tau=0.07,2,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.,solid growth pattern,2,0.0078125
Concept-12 PEPS topk=3 tau=0.07,2,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,66,0.5
Concept-12 PEPS topk=3 tau=0.07,2,NonAdenocarcinoma,2,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,36,0.2727272727272727
Concept-12 PEPS topk=3 tau=0.07,2,NonAdenocarcinoma,3,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,14,0.10606060606060606
Concept-12 PEPS topk=3 tau=0.07,2,NonAdenocarcinoma,4,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,9,0.06818181818181818
Concept-12 PEPS topk=3 tau=0.07,2,NonAdenocarcinoma,5,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,5,0.03787878787878788
Concept-12 PEPS topk=3 tau=0.07,3,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,121,0.4763779527559055
Concept-12 PEPS topk=3 tau=0.07,3,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,100,0.3937007874015748
Concept-12 PEPS topk=3 tau=0.07,3,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,12,0.047244094488188976
Concept-12 PEPS topk=3 tau=0.07,3,Adenocarcinoma,4,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,6,0.023622047244094488
Concept-12 PEPS topk=3 tau=0.07,3,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with acinar gland-forming architecture.,acinar growth pattern,6,0.023622047244094488
Concept-12 PEPS topk=3 tau=0.07,3,NonAdenocarcinoma,1,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,49,0.3656716417910448
Concept-12 PEPS topk=3 tau=0.07,3,NonAdenocarcinoma,2,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,31,0.23134328358208955
Concept-12 PEPS topk=3 tau=0.07,3,NonAdenocarcinoma,3,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,29,0.21641791044776118
Concept-12 PEPS topk=3 tau=0.07,3,NonAdenocarcinoma,4,A high magnification histopathology image showing squamous carcinoma cells with dense eosinophilic cytoplasm and distinct cell borders.,dense eosinophilic cytoplasm,16,0.11940298507462686
Concept-12 PEPS topk=3 tau=0.07,3,NonAdenocarcinoma,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,4,0.029850746268656716
Concept-12 PEPS topk=3 tau=0.07,4,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,124,0.4881889763779528
Concept-12 PEPS topk=3 tau=0.07,4,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,116,0.4566929133858268
Concept-12 PEPS topk=3 tau=0.07,4,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,10,0.03937007874015748
Concept-12 PEPS topk=3 tau=0.07,4,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,3,0.011811023622047244
Concept-12 PEPS topk=3 tau=0.07,4,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.,solid growth pattern,1,0.003937007874015748
Concept-12 PEPS topk=3 tau=0.07,4,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,55,0.4166666666666667
Concept-12 PEPS topk=3 tau=0.07,4,NonAdenocarcinoma,2,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,38,0.2878787878787879
Concept-12 PEPS topk=3 tau=0.07,4,NonAdenocarcinoma,3,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,15,0.11363636363636363
Concept-12 PEPS topk=3 tau=0.07,4,NonAdenocarcinoma,4,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,11,0.08333333333333333
Concept-12 PEPS topk=3 tau=0.07,4,NonAdenocarcinoma,5,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,8,0.06060606060606061
Concept-12 PEPS topk=3 tau=0.07,5,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,123,0.484251968503937
Concept-12 PEPS topk=3 tau=0.07,5,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,87,0.3425196850393701
Concept-12 PEPS topk=3 tau=0.07,5,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with acinar gland-forming architecture.,acinar growth pattern,20,0.07874015748031496
Concept-12 PEPS topk=3 tau=0.07,5,Adenocarcinoma,4,A low magnification histopathology image showing lung adenocarcinoma with solid growth pattern.,solid growth pattern,15,0.05905511811023622
Concept-12 PEPS topk=3 tau=0.07,5,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,3,0.011811023622047244
Concept-12 PEPS topk=3 tau=0.07,5,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,60,0.45454545454545453
Concept-12 PEPS topk=3 tau=0.07,5,NonAdenocarcinoma,2,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,28,0.21212121212121213
Concept-12 PEPS topk=3 tau=0.07,5,NonAdenocarcinoma,3,A low magnification histopathology image showing neuroendocrine tumor architecture.,neuroendocrine tumor architecture,14,0.10606060606060606
Concept-12 PEPS topk=3 tau=0.07,5,NonAdenocarcinoma,4,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,11,0.08333333333333333
Concept-12 PEPS topk=3 tau=0.07,5,NonAdenocarcinoma,5,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,10,0.07575757575757576
Concept-12 PEPS topk=3 tau=0.15,1,Adenocarcinoma,1,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,85,0.33203125
Concept-12 PEPS topk=3 tau=0.15,1,Adenocarcinoma,2,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,70,0.2734375
Concept-12 PEPS topk=3 tau=0.15,1,Adenocarcinoma,3,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,38,0.1484375
Concept-12 PEPS topk=3 tau=0.15,1,Adenocarcinoma,4,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,27,0.10546875
Concept-12 PEPS topk=3 tau=0.15,1,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,16,0.0625
Concept-12 PEPS topk=3 tau=0.15,1,NonAdenocarcinoma,1,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,51,0.38636363636363635
Concept-12 PEPS topk=3 tau=0.15,1,NonAdenocarcinoma,2,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.,chondromyxoid matrix,43,0.32575757575757575
Concept-12 PEPS topk=3 tau=0.15,1,NonAdenocarcinoma,3,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,14,0.10606060606060606
Concept-12 PEPS topk=3 tau=0.15,1,NonAdenocarcinoma,4,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,6,0.045454545454545456
Concept-12 PEPS topk=3 tau=0.15,1,NonAdenocarcinoma,5,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,5,0.03787878787878788
Concept-12 PEPS topk=3 tau=0.15,2,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,126,0.4921875
Concept-12 PEPS topk=3 tau=0.15,2,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,75,0.29296875
Concept-12 PEPS topk=3 tau=0.15,2,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,53,0.20703125
Concept-12 PEPS topk=3 tau=0.15,2,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,intracytoplasmic mucin vacuoles,1,0.00390625
Concept-12 PEPS topk=3 tau=0.15,2,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,1,0.00390625
Concept-12 PEPS topk=3 tau=0.15,2,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,48,0.36363636363636365
Concept-12 PEPS topk=3 tau=0.15,2,NonAdenocarcinoma,2,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,45,0.3409090909090909
Concept-12 PEPS topk=3 tau=0.15,2,NonAdenocarcinoma,3,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,12,0.09090909090909091
Concept-12 PEPS topk=3 tau=0.15,2,NonAdenocarcinoma,4,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,9,0.06818181818181818
Concept-12 PEPS topk=3 tau=0.15,2,NonAdenocarcinoma,5,A high magnification histopathology image showing squamous carcinoma cells with dense eosinophilic cytoplasm and distinct cell borders.,dense eosinophilic cytoplasm,5,0.03787878787878788
Concept-12 PEPS topk=3 tau=0.15,3,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,127,0.5
Concept-12 PEPS topk=3 tau=0.15,3,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,123,0.484251968503937
Concept-12 PEPS topk=3 tau=0.15,3,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,4,0.015748031496062992
Concept-12 PEPS topk=3 tau=0.15,3,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,30,0.22388059701492538
Concept-12 PEPS topk=3 tau=0.15,3,NonAdenocarcinoma,2,A low magnification histopathology image showing necrotic squamous carcinoma nests without glandular differentiation.,necrotic squamous carcinoma nests,30,0.22388059701492538
Concept-12 PEPS topk=3 tau=0.15,3,NonAdenocarcinoma,3,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,23,0.17164179104477612
Concept-12 PEPS topk=3 tau=0.15,3,NonAdenocarcinoma,4,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,18,0.13432835820895522
Concept-12 PEPS topk=3 tau=0.15,3,NonAdenocarcinoma,5,A high magnification histopathology image showing squamous carcinoma cells with dense eosinophilic cytoplasm and distinct cell borders.,dense eosinophilic cytoplasm,13,0.09701492537313433
Concept-12 PEPS topk=3 tau=0.15,4,Adenocarcinoma,1,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,floating micropapillary clusters,109,0.42913385826771655
Concept-12 PEPS topk=3 tau=0.15,4,Adenocarcinoma,2,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,96,0.3779527559055118
Concept-12 PEPS topk=3 tau=0.15,4,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,lepidic growth pattern,19,0.07480314960629922
Concept-12 PEPS topk=3 tau=0.15,4,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,8,0.031496062992125984
Concept-12 PEPS topk=3 tau=0.15,4,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with acinar gland-forming architecture.,acinar growth pattern,6,0.023622047244094488
Concept-12 PEPS topk=3 tau=0.15,4,NonAdenocarcinoma,1,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,40,0.30303030303030304
Concept-12 PEPS topk=3 tau=0.15,4,NonAdenocarcinoma,2,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,37,0.2803030303030303
Concept-12 PEPS topk=3 tau=0.15,4,NonAdenocarcinoma,3,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.,chondromyxoid matrix,13,0.09848484848484848
Concept-12 PEPS topk=3 tau=0.15,4,NonAdenocarcinoma,4,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,13,0.09848484848484848
Concept-12 PEPS topk=3 tau=0.15,4,NonAdenocarcinoma,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,12,0.09090909090909091
Concept-12 PEPS topk=3 tau=0.15,5,Adenocarcinoma,1,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,80,0.31496062992125984
Concept-12 PEPS topk=3 tau=0.15,5,Adenocarcinoma,2,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,69,0.27165354330708663
Concept-12 PEPS topk=3 tau=0.15,5,Adenocarcinoma,3,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,43,0.16929133858267717
Concept-12 PEPS topk=3 tau=0.15,5,Adenocarcinoma,4,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,33,0.12992125984251968
Concept-12 PEPS topk=3 tau=0.15,5,Adenocarcinoma,5,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,19,0.07480314960629922
Concept-12 PEPS topk=3 tau=0.15,5,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,65,0.49242424242424243
Concept-12 PEPS topk=3 tau=0.15,5,NonAdenocarcinoma,2,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,35,0.26515151515151514
Concept-12 PEPS topk=3 tau=0.15,5,NonAdenocarcinoma,3,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,19,0.14393939393939395
Concept-12 PEPS topk=3 tau=0.15,5,NonAdenocarcinoma,4,A low magnification histopathology image showing neuroendocrine tumor architecture.,neuroendocrine tumor architecture,4,0.030303030303030304
Concept-12 PEPS topk=3 tau=0.15,5,NonAdenocarcinoma,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,3,0.022727272727272728
Concept-12 PEPS topk=5 tau=0.07,1,Adenocarcinoma,1,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,123,0.48046875
Concept-12 PEPS topk=5 tau=0.07,1,Adenocarcinoma,2,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,53,0.20703125
Concept-12 PEPS topk=5 tau=0.07,1,Adenocarcinoma,3,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,38,0.1484375
Concept-12 PEPS topk=5 tau=0.07,1,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,intracytoplasmic mucin vacuoles,19,0.07421875
Concept-12 PEPS topk=5 tau=0.07,1,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,17,0.06640625
Concept-12 PEPS topk=5 tau=0.07,1,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,52,0.3939393939393939
Concept-12 PEPS topk=5 tau=0.07,1,NonAdenocarcinoma,2,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,27,0.20454545454545456
Concept-12 PEPS topk=5 tau=0.07,1,NonAdenocarcinoma,3,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,18,0.13636363636363635
Concept-12 PEPS topk=5 tau=0.07,1,NonAdenocarcinoma,4,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.,spindle cell atypia without gland formation,12,0.09090909090909091
Concept-12 PEPS topk=5 tau=0.07,1,NonAdenocarcinoma,5,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,7,0.05303030303030303
Concept-12 PEPS topk=5 tau=0.07,2,Adenocarcinoma,1,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,126,0.4921875
Concept-12 PEPS topk=5 tau=0.07,2,Adenocarcinoma,2,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,102,0.3984375
Concept-12 PEPS topk=5 tau=0.07,2,Adenocarcinoma,3,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,12,0.046875
Concept-12 PEPS topk=5 tau=0.07,2,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,10,0.0390625
Concept-12 PEPS topk=5 tau=0.07,2,Adenocarcinoma,5,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,intracytoplasmic mucin vacuoles,2,0.0078125
Concept-12 PEPS topk=5 tau=0.07,2,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,66,0.5
Concept-12 PEPS topk=5 tau=0.07,2,NonAdenocarcinoma,2,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,37,0.2803030303030303
Concept-12 PEPS topk=5 tau=0.07,2,NonAdenocarcinoma,3,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,18,0.13636363636363635
Concept-12 PEPS topk=5 tau=0.07,2,NonAdenocarcinoma,4,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,4,0.030303030303030304
Concept-12 PEPS topk=5 tau=0.07,2,NonAdenocarcinoma,5,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,3,0.022727272727272728
Concept-12 PEPS topk=5 tau=0.07,3,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,124,0.4881889763779528
Concept-12 PEPS topk=5 tau=0.07,3,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,89,0.35039370078740156
Concept-12 PEPS topk=5 tau=0.07,3,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,25,0.0984251968503937
Concept-12 PEPS topk=5 tau=0.07,3,Adenocarcinoma,4,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,lepidic growth pattern,8,0.031496062992125984
Concept-12 PEPS topk=5 tau=0.07,3,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,3,0.011811023622047244
Concept-12 PEPS topk=5 tau=0.07,3,NonAdenocarcinoma,1,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,51,0.3805970149253731
Concept-12 PEPS topk=5 tau=0.07,3,NonAdenocarcinoma,2,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,32,0.23880597014925373
Concept-12 PEPS topk=5 tau=0.07,3,NonAdenocarcinoma,3,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,28,0.208955223880597
Concept-12 PEPS topk=5 tau=0.07,3,NonAdenocarcinoma,4,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,8,0.05970149253731343
Concept-12 PEPS topk=5 tau=0.07,3,NonAdenocarcinoma,5,A high magnification histopathology image showing squamous carcinoma cells with dense eosinophilic cytoplasm and distinct cell borders.,dense eosinophilic cytoplasm,5,0.03731343283582089
Concept-12 PEPS topk=5 tau=0.07,4,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,122,0.48031496062992124
